,author,title
18,"Anabelle Anais, Analiese Analise, Anallese Anallise, Anastasia Anastasie, Anastassia Anatola, Andee Andi","""We believe that the Arctic's core circulation needs to be activated again to allow the Arctic to absorb more water during the next decade and then to slow down when the bottom layer of the ocean sinks,"" he added."
19,"Andie Andra, Andrea Andreana, Andree Andrei, Andria Andriana, Andriette Andromache, Andromeda Andy",Dioscorea Is Associated With Hepatitis B Virus Infection and Antigenicity
20,"Anestassia Anet, Anett Anetta, Anette Ange, Angel Angela, Angele Angelia, Angelica Angelika","""I think, as a general rule, when you look at the protein content of animal products, it is a huge factor,"" says Axelrod. ""The reason why it is not a huge factor is that the protein content is not the same as the total protein content. So for example, the protein content of a chicken is about 50% less than it is for a beef. That's a big difference. Even though it's a different protein source, the protein content is different in the chicken and its protein content is different in the beef."""
21,"Angelina Angeline, Angelique Angelita, Angelle Angie, Angil Angy, Ania Anica, Anissa Anita","In the United States, the Drug Enforcement Administration has been mandated to stop trafficking in illegal narcotics to Mexico, which is a key source of revenue for drug cartels."
22,"Anitra Anja, Anjanette Anjela, Ann Ann-Mari, Ann-Marie Anna, Anna-Diana Anna-Diane, Anna-Maria Annabal","man in paradise,"
23,"Annabel Annabela, Annabell Annabella, Annabelle Annadiana, Annadiane Annalee, Annalena Annaliese, Annalisa Annalise","Adopting a more energy-efficient and cost-effective approach to the energy mix, both in terms of the number"
24,"Annalyse Annamari, Annamaria Annamarie, Anne Anne-Corinne, Anne-Mar Anne-Marie, Annecorinne Anneliese, Annelise Annemarie",Promoting and conserving the marine ecosystem through conservation of marine and bivalve amphibians
25,"Annetta Annette, Anni Annice, Annie Annissa, Annmaria Annmarie, Annnora Annora, Anny Anselma",9-3-2013: Consistent with the primary role of the P-to-Nas9-3 Subunit in Host Invasion and Differentiated Genes
26,"Ansley Anstice, Anthe Anthea, Anthia Antoinette, Antonella Antonetta, Antonia Antonie, Antonietta Antonina","When you are a slave, you are not only the slave owner, but the slave owner's spouse/partner as well. Because of this, you cannot get a free partner on your terms, but you can still visit a slave."
27,"Anya Aphrodite, Appolonia April, Aprilette Ara, Arabel Arabela, Arabele Arabella, Arabelle Arda",Upload permission You are not allowed to upload this file to other sites under any circumstances
28,"Ardath Ardeen, Ardelia Ardelis, Ardella Ardelle, Arden Ardene, Ardenia Ardine, Ardis Ardith",AIMS-IMM: Anti-Tumor Activity of Cl
29,"Ardra Ardyce, Ardys Ardyth, Aretha Ariadne, Ariana Arianne, Aridatha Ariel, Ariela Ariella","The Orioles are also without right-hitter Evan Gattis, who is with the Astros."
30,"Arielle Arlana, Arlee Arleen, Arlen Arlena, Arlene Arleta, Arlette Arleyne, Arlie Arliene","In the past two seasons, the Orioles have posted a .255 average and a .345 on-base percentage, but they are without right-handed pitcher Hyun-Jin Ryu and left-handed pitcher Ryan Maier for the remainder of the season."
31,"Arlina Arlinda, Arline Arly, Arlyn Arlyne, Aryn Ashely, Ashlee Ashleigh, Ashlen Ashley","The Orioles are adding a lefty closer, Andrew Miller. He is with the Yankees. Miller has struggled in his first full season with the White Sox, but he is a solid closer."
32,"Ashli Ashlie, Ashly Asia, Astra Astrid, Astrix Atalanta, Athena Athene, Atlanta Atlante","The U.S. official said the military has been training and equipping the Turkish squadrons, along with other partners in the fight against Islamic State militants."
33,"Auberta Aubine, Aubree Aubrette, Aubrey Aubrie, Aubry Audi, Audie Audra, Audre Audrey","The introduction of a low-sugary, low-sugar, low-sugar, low fiber, non-"
34,"Audrie Audry, Audrye Audy, Augusta Auguste, Augustina Augustine, Aura Aurea, Aurel Aurelea","The team found that the jet stream is currently at its lowest point on record, but is at its highest point in the Arctic Ocean."
35,"Aurelia Aurelie, Auria Aurie, Aurilia Aurlie, Auroora Aurora, Aurore Austin, Austina Austine",9-3-2013: Monoclonal Strain Gene Expression Is Decreased In Different Viral Pathogens and Their Subtypes
36,"Ava Aveline, Averil Averyl, Avie Avis, Aviva Avivah, Avril Avrit, Ayn Bab","In this article, I will refer to the 2014 financial crisis as the most severe financial crisis in U.S. history. My intent was not to detail the nature of the crisis, but rather to provide a general picture of the crisis and to provide a laid-out framework for the assessment of the current state of the U.S. economy."
37,"Babara Babette, Babita Babs, Bambi Bambie, Bamby Barb, Barbabra Barbara, Barbara-Anne Barbaraanne","The New York Times is being accused of a ""deliberate cover-up"" by the US government, a claim that can't be reconciled with its own new report on the death of actor and CNN host Stephen Baldwin."
38,"Barbe Barbee, Barbette Barbey, Barbi Barbie, Barbra Barby, Bari Barrie, Barry Basia","(Natural News) All of us are busy. And some are busy with our food choices and our health. But while we're trying to figure out what the reason for that is, one of the biggest common misconceptions is that it's because we're eating more vegetables. The truth is, that doesn't mean you're getting all the solid nutrients and biochemicals that our bodies need."
39,"Bathsheba Batsheva, Bea Beatrice, Beatrisa Beatrix, Beatriz Beau, Bebe Becca, Becka Becki",Accuracy
40,"Beckie Becky, Bee Beilul, Beitris Bekki, Bel Belia, Belicia Belinda, Belita Bell",Binary Characterization of Bacillus cereus Osteoblasts and Their Application to Protein-Associating Protein Kinectants
41,"Bella Bellamy, Bellanca Belle, Bellina Belva, Belvia Bendite, Benedetta Benedicta, Benedikta Benetta","Is there a difference between the ""progressive"" and Libertarian Party candidates?"
42,"Benita Benni, Bennie Benny, Benoite Berenice, Beret Berget, Berna Bernadene, Bernadette Bernadina",This mod adds a new ability to identify the path of a weapon by the type and angle of the scope. This is very useful when you are hunting or hunting for a weapon.
43,"Bernadine Bernardina, Bernardine Bernelle, Bernete Bernetta, Bernette Berni, Bernice Bernie, Bernita Berny",Magnesium cysteine oxidase in turn inhibits TNF-_-mediated degradation of luteinizing hormone by a cytoprotective mechanism via B-vitamins
44,"Berri Berrie, Berry Bert, Berta Berte, Bertha Berthe, Berti Bertie, Bertina Bertine","The state's Medicaid program is also a major contributor to the state's obesity epidemic. In 2014, the state operated a single-payer system, but by the end of 2014, that system was shut down. The state has no research funding for obesity research."
45,"Berty Beryl, Beryle Bess, Bessie Bessy, Beth Bethanne, Bethany Bethena, Bethina Betsey","""The Arctic is already at its lowest point on record, but is at its highest point in the Arctic Ocean,"" Murphy said. ""The Arctic is already at its lowest point on record, but is at its highest point in the Arctic Ocean."""
46,"Betsy Betta, Bette Bette-Ann, Betteann Betteanne, Betti Bettie, Bettina Bettine, Betty Bettye",The Federal Reserve on Monday had to cut interest rates after a U.S. Government Accountability Office report said an increase in mortgage-backed securities and a decrease in the cost of mortgage-backed securities are contributing to the financial crisis.
47,"Beulah Bev, Beverie Beverlee, Beverlie Beverly, Bevvy Bianca, Bianka Biddy, Bidget Bill",cmc_kills_bp(5) -cKlaxg2 -Dpk_Kills__ p+__c__k_P<__c__m__k__b__c_p___
48,"Billi Billie, Billy Binni, Binnie Binny, Bird Birdie, Birgit Birgitta, Blair Blaire",Neurotransmitters of the human central nervous system regulate cell metabolism and neuronal cell growth
49,"Blake Blakelee, Blakeley Blanca, Blanch Blancha, Blanche Blinni, Blinnie Blinny, Bliss Blisse",The U.S. government's attempt to control the cost of borrowing and to control the growth of U.S. companies has been a tectonic shift in U.S. economic policy.
50,"Blithe Blondell, Blondelle Blondie, Blondy Blythe, Bo Bobbette, Bobbi Bobbie, Bobby Bobette","The Koryo Robo's head and body are built around a base with a functional microprocessor by Oda's company. In the next generation of Koryo Robots, Oda's company will be concentrating on the development of Koryo Robot. The Koryo Robotic will be able to generate and process a large number of biological samples from human and animal tissues. The Koryo Robotic's DNA will be used to reinforce the human immune system. The Koryo Robo's DNA will be used to detect and field-test human pathogens. The Koryo Robo's DNA can be used to detect and test microorganisms and vaccines. Oda's new Koryo Robot will be able to detect and field test human pathogens."
51,"Bobina Bobine, Bobinette Bonita, Bonnee Bonni, Bonnie Bonny, Brana Brandais, Brande Brandea",Muzzle velocity
52,"Brandi Brandice, Brandie Brandise, Brandy Brea, Breanne Brear, Bree Breena, Bren Brena","The domain ""adblock.com.msn.ss.cn.apis"" appears to be a fake."
53,"Brenda Brenn, Brenna Brett, Bria Briana, Brianna Brianne, Bride Bridget, Bridgett Bridgette",I have a daughter with Type 2 diabetes and she is at a greater risk of developing Type 2 diabetes. I am in a position to help my daughter find a diet low in animal products and the right combination of nutrients to prevent and treat these diseases.
54,"Bridie Brier, Brietta Brigid, Brigida Brigit, Brigitta Brigitte, Brina Briney, Briny Brit","In C. elegans, the caspase-1-dependent caspase-2 inhibits the self-incompatibility of the CCR5 silencing target gene"
55,"Brita Britaney, Britani Briteny, Britney Britni, Britt Britta, Brittan Brittany, Britte Brittney",Cross-talk between the human and cell-sensored interleukin-2 and nongenon RNA-Mediated Hemoptysis in the Cell
56,"Brook Brooke, Brooks Brunella, Brunhilda Brunhilde, Bryana Bryn, Bryna Brynn, Brynna Brynne",The C++11 Exporter is a C++11-specific C++11 Compiler.
57,"Buffy Bunni, Bunnie Bunny, Burta Cabrina, Cacilia Cacilie, Caitlin Caitrin, Cal Calida","Each Hero Link represents a different player role. Players are placed in different roles in the game by events, actions, and actions that the player makes in the game. The Hero Link has a different role in the game than the Heroes and Villains in Left 4 Dead 2."
58,"Calla Calley, Calli Callida, Callie Cally, Calypso Cam, Camala Camel, Camella Camellia","The domain ""adblock.com.msn.cn"" appears to be an incorrect domain name in the Domain Name System."
59,"Cameo Cami, Camila Camile, Camilla Camille, Cammi Cammie, Cammy Canada, Candace Candi","The team found that the Arctic's core circulation is already at its lowest point on record, but is at its highest point in the Arctic Ocean"
60,"Candice Candida, Candide Candie, Candis Candra, Candy Cappella, Caprice Cara, Caralie Caren",Nanine -Induced Lipid Production by Thiaminone-Producing Cells
61,"Carena Caresa, Caressa Caresse, Carey Cari, Caria Carie, Caril Carilyn, Carin Carina",TRUNCAS: The Neurotransmission of Bovine and Human Neuroendocrine Tissues
62,"Carine Cariotta, Carissa Carita, Caritta Carla, Carlee Carleen, Carlen Carlena, Carlene Carley",The House and Senate are scheduled to vote on a bill to provide for a $1 billion increase in the state's Medicaid program to help pay for the expansion of the state's Medicaid program.
63,"Carli Carlie, Carlin Carlina, Carline Carlisle, Carlita Carlota, Carlotta Carly, Carlye Carlyn","The cyclooxygenase, OXK, has been involved in the degradation of polyunsaturated fatty acid lipids"
64,"Carlynn Carlynne, Carma Carmel, Carmela Carmelia, Carmelina Carmelita, Carmella Carmelle, Carmen Carmina","In the slave relationship, the slave is the person who is the slave owner's spouse/partner. One of the ways you can get your slave's spouse/partner, is to buy them a ticket to you and give them a hand job. You are not the slave owner, but the slave owner's spouse/partner. The slave's life is the slave owner's life, but the slave's life is alive. It is not the slave's upbringing that determines the fate of your slave."
65,"Carmine Carmita, Carmon Caro, Carol Carol-Jean, Carola Carolan, Carolann Carole, Carolee Caroleen","The C++11 Exporter is a direct replacement for the C++11 Compiler and a subset of the Exporter, for the C ++ Compiler."
66,"Carolie Carolin, Carolina Caroline, Caroljean Carolyn, Carolyne Carolynn, Caron Carree, Carri Carrie",cmc_init: Set_Init_Object
67,"Carrissa Carrol, Carroll Carry, Cary Caryl, Caryn Casandra, Casey Casi, Casia Casie","The Dark Portal is a long-standing and ancient location, and during the Burning Legion's invasion of the Burning Legion's Sacred Forest, the Dark Portal was sealed and the rest of the Forsaken departed with the Dark Portal."
68,"Cass Cassandra, Cassandre Cassandry, Cassaundra Cassey, Cassi Cassie, Cassondra Cassy, Cat Catarina","Olderly Serum Monosodium Triglycerides and Their Impact on Lipid Production, Lipid Dehydrogenase Activity, and Metastasis"
69,"Cate Caterina, Catha Catharina, Catharine Cathe, Cathee Catherin, Catherina Catherine, Cathi Cathie","In 2014, the state made $17.8 billion in operating costs, and the state has a $1.9 trillion budget deficit."
70,"Cathleen Cathlene, Cathrin Cathrine, Cathryn Cathy, Cathyleen Cati, Catie Catina, Catlaina Catlee",A novel translocation-dependent pathway underlies the up-regulatory effect of human p7bviruses on the chaperone pathway in the virions
71,"Catlin Catrina, Catriona Caty, Cayla Cecelia, Cecil Cecile, Ceciley Cecilia, Cecilla Cecily","The U.S. economy grew at a slower pace during the 2000s than it did during the Great Depression, but the decline in U.S. growth and job growth is not explained by the expansionary effect of the U.S. dollar."
72,"Ceil Cele, Celene Celesta, Celeste Celestia, Celestina Celestine, Celestyn Celestyna, Celia Celie","In a slave relationship, the slave's spouse/partner is the slave's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's"
73,"Celina Celinda, Celine Celinka, Celisse Celle, Cesya Chad, Chanda Chandal, Chandra Channa","And now that I've talked about the importance of eating healthy and keeping a healthy diet, I think we can all agree that this is a very important truth."
74,"Chantal Chantalle, Charil Charin, Charis Charissa, Charisse Charita, Charity Charla, Charlean Charleen",This mod adds a new ability to identify the path of a weapon by the type and angle of the scope. This is very useful when you are hunting or
75,"Charlena Charlene, Charline Charlot, Charlott Charlotta, Charlotte Charmain, Charmaine Charmane, Charmian Charmine","""With this study, we show that the Arctic's jet stream is growing faster than the Arctic's in response to ocean acidification, which makes it more susceptible to changes in ocean acidification,"" said Dr. Murphy."
76,"Charmion Charo, Charyl Chastity, Chelsae Chelsea, Chelsey Chelsie, Chelsy Cher, Chere Cherey",9-3-2013: Differentially expressed but differentially expressed U-M4X3B Complex Is Associated with Reduced Expression of the Hepatic Granulocytic Ehrlichiosis Gene
77,"Cheri Cherianne, Cherice Cherida, Cherie Cherilyn, Cherilynn Cherin, Cherise Cherish, Cherlyn Cherri","The A-300 is designed to be good at firing at close range, but not at long range. The A-300 is designed to be good at firing at close range, but not at long range. The A-300 is a potent, reliable, but not reliable missile."
78,"Cherrita Cherry, Chery Cherye, Cheryl Cheslie, Chiarra Chickie, Chicky Chiquita, Chloe Chloette",This is an in-depth review by K.M. Aitken of the Department of Pharmacology of the University of Tübingen in Germany in support of his previous paper on monosodium urate metabolism in Type 2 diabetes.
79,"Chloris Chris, Chriss Chrissa, Chrissie Chrissy, Christa Christabel, Christabella Christabelle, Christal Christalle","I believe that OpenMP-E Is a C++11-Specific Exporter, and OpenMP-E Is a C++11-Specific"
80,"Christan Christean, Christel Christen, Christi Christian, Christiana Christiane, Christie Christin, Christina Christine",9-3-2013: Differential Regulatory Effects of Migration-Involved Proteins on Papilloma and Macrophage Proteins in Viral Pathogenic Heterologs
81,"Christy Christyna, Chrysa Chrysler, Chrystal Chryste, Chrystel Ciara, Cicely Cicily, Ciel Cilka","""I hope that it doesn't go down as a bad thing,"" he added. ""I hope it doesn't go down as a bad thing."""
82,"Cinda Cindee, Cindelyn Cinderella, Cindi Cindie, Cindra Cindy, Cinnamon Cissie, Cissy Clair","In December, 1992, I wrote a blog post on the compatibility of OpenMP with OpenMP-E. I discussed the possibility of using the OpenMP-E 2.8.2 Library for programmatic analysis of the Stored Procedures Environment (SOE) in the OpenMP Core Emulator."
83,"Claire Clara, Clarabelle Clare, Claresta Clareta, Claretta Clarette, Clarey Clari, Claribel Clarice","I have a question. I have to admit that the original R9 270 3.5-in. bearing is a bit of a mystery to me, and I don't think it fits in with the current R9 270 3.5-in. diameter tolerances. There are a number of different designs of bearing, of which I have a great deal of knowledge. Is there a way to vector the rattle from the original to the next bearing and to the next by using a different bearing shape and/or a different surface type? I have reviewed an old R9 270 bearing, and while it was a good design, I think the R9 270 was a bit too small for my needs. Is the R9 270 a good choice for a large-capacity, single-stroke toolbox?"
84,"Clarie Clarinda, Clarine Clarisa, Clarissa Clarisse, Clarita Clary, Claude Claudelle, Claudetta Claudette","The Orioles are adding right-handers Joe Panik and Raul Mondesi, and right-handers Alex Gordon and David Phelps."
85,"Claudia Claudie, Claudina Claudine, Clea Clem, Clemence Clementia, Clementina Clementine, Clemmie Clemmy",A 44-year-old woman and an 18-year-old man were also injured.
86,"Cleo Cleopatra, Clerissa Cleva, Clio Clo, Cloe Cloris, Clotilda Clovis, Codee Codi","In addition, the EIA has a new requirement for each of the three leading power generation operators in the US to report on their performance on the US National Information System (NIS) for the period between December 2015 and December 2016. That is, NIS will be required to identify and collect the total number of power generation and generation-intensive activities and to report on the total number of hours of operation of each of the three power generation operators."
87,"Codie Cody, Coleen Colene, Coletta Colette, Colleen Collete, Collette Collie, Colline Colly",Make sure to follow us on Twitter @OnTheJob.
88,"Con Concettina, Conchita Concordia, Conney Conni, Connie Conny, Consolata Constance, Constancia Constancy","The domain ""adblock.com.msn.ptp.pld"" appears to be a fake."
89,"Constanta Constantia, Constantina Constantine, Consuela Consuelo, Cookie Cora, Corabel Corabella, Corabelle Coral",cmc_kills_bp(6) -cKlaxg2 -Dpk_Kills__ p+__c__k_P<__c__m__k__b__c_p___
90,"Coralie Coraline, Coralyn Cordelia, Cordelie Cordey, Cordie Cordula, Cordy Coreen, Corella Corena",The new study also found that the Arctic's core circulation is also at its lowest point on record.
91,"Corenda Corene, Coretta Corette, Corey Cori, Corie Corilla, Corina Corine, Corinna Corinne","When the researchers compared vegetarians with nonvegetarians, they found that the vegans eat far more fruit, vegetables, and legumes than the vegans, while omnivores eat far less and have a higher body mass index. These findings suggest that there are better choices for healthy eating for vegetarians, but there are also better health benefits to vegans in the short term."
92,"Coriss Corissa, Corliss Corly, Cornela Cornelia, Cornelle Cornie, Corny Correna, Correy Corri","Asset use permission in mods/files that are being sold You are not allowed to use assets from this file in any mods/files that are being sold, for money, on Steam Workshop or other platforms"
93,"Corrianne Corrie, Corrina Corrine, Corrinne Corry, Cortney Cory, Cosetta Cosette, Courtenay Courtney","I believe that OpenMP-E C++11-Specific Exporter is a C++11-Specific Exporter, and OpenMP-E Is a C++11-Specific Exporter."
94,"Cresa Cris, Crissie Crissy, Crista Cristabel, Cristal Cristen, Cristi Cristie, Cristin Cristina",cmc_clear_cputime: Regions with OpenCV - OpenCV
95,"Cristine Cristionna, Cristy Crysta, Crystal Crystie, Cyb Cybal, Cybel Cybelle, Cybil Cybill","Burns, who has played in all 88 of Liverpool's Premier League fixtures, is set to depart on a season-long loan with the Reds after an injury-plagued season for the England Under-21 team."
96,"Cyndi Cyndy, Cynthea Cynthia, Cynthie Cynthy, Dacey Dacia, Dacie Dacy, Dael Daffi","To the Editor: This story is a bit surprising, but the timing and content is wrong. A year after the collapse of Lehman Brothers, bank regulators are attempting to halt the impact of the Great Recession. Their goal is to prevent a similar phenomenon from occurring in the future."
97,"Daffie Daffy, Dafna Dagmar, Dahlia Daile, Daisey Daisi, Daisie Daisy, Dale Dalenna",A pilot-controlled trial of a novel cannabinoid-induced hepatocellular carcinogenicity in human volunteers exposed to a novel phytocannabinoid-induced oral administration
98,"Dalia Dalila, Dallas Daloris, Damara Damaris, Damita Dana, Danell Danella, Danelle Danette","I believe that the C++11-specific Exporter for C++11 is C++11-specific Exporter, and OpenMP is a C++11-specific Exporter."
99,"Dani Dania, Danica Danice, Daniel Daniela, Daniele Daniella, Danielle Danika, Danila Danit",IMPORTANCE:
100,"Danita Danna, Danni Dannie, Danny Dannye, Danya Danyelle, Danyette Daphene, Daphna Daphne","The US-led invasion of Iraq and the subsequent US-led invasion of Afghanistan are committing war crimes, and the US should end them."
101,"Dara Darb, Darbie Darby, Darcee Darcey, Darci Darcie, Darcy Darda, Dareen Darell",Promoting human-induced coral bleaching and other degradation-related bleaching events through enhanced reefs and other protected areas
102,"Darelle Dari, Daria Darice, Darla Darleen, Darlene Darline, Darryl Darsey, Darsie Darya","""The US-led invasion of Iraq and the subsequent US-led invasion of Afghanistan are leading the Islamic State to take territory in Iraq and Syria, and the US should prevent that from happening."""
103,"Daryl Daryn, Dasha Dasi, Dasie Dasya, Datha Daune, Daveen Daveta, Davida Davina",cmc_get_key_sig: Get_Key_sig_sig
104,"Davine Davita, Dawn Dawna, Dayle Dayna, Dea Deana, Deane Deanna, Deanne Deb","In a slave relationship, the slave's spouse/partner is the slave's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's spouse/partner's"
105,"Debbi Debbie, Debbra Debby, Debee Debera, Debi Debor, Debora Deborah, Debra Dede",In 2014
106,"Dedie Dedra, Dee Dee Dee, Deeann Deeanne, Deedee Deena, Deerdre Dehlia, Deidre Deina","The DEA regulates the sale of heroin and opioid pills, but the drug is not regulated by the FDA."
107,"Deirdre Del, Dela Delaney, Delcina Delcine, Delia Delila, Delilah Delinda, Dell Della",by Genevieve Krotzman
108,"Delly Delora, Delores Deloria, Deloris Delphina, Delphine Delphinia, Demeter Demetra, Demetria Demetris",14-3-13-7200.1.13-15.cip.10030.x Is a Novel Nucleotides-Backed Viral Gene
109,"Dena Deni, Denice Denise, Denna Denni, Dennie Denny, Deny Denys, Denyse Deonne",But there is a problem with that.
110,"Desaree Desdemona, Desirae Desiree, Desiri Deva, Devan Devi, Devin Devina, Devinne Devon","The state's medical marijuana program is a huge contributor to the state's diabetes epidemic. In 2014, the state operated a single-payer system, but by the end of 2014, that system was shut down."
111,"Devondra Devonna, Devonne Devora, Dew Di, Diahann Diamond, Dian Diana, Diandra Diane","The Orioles are also without right-handed reliever Yoan Moncada, who is with the Giants. Moncada has a 2.37 ERA and a .913 OPS over his last three starts with Kansas City."
112,"Diane-Marie Dianemarie, Diann Dianna, Dianne Diannne, Didi Dido, Diena Dierdre, Dina Dinah","As such, the newly formed Captain."
113,"Dinnie Dinny, Dion Dione, Dionis Dionne, Dita Dix, Dixie Dode, Dodi Dodie","Over time, he will become more and more independent, and will become more and more determined to fight the villainous alien resistance."
114,"Dody Doe, Doll Dolley, Dolli Dollie, Dolly Dolora, Dolores Dolorita, Doloritas Dominica",The Orioles are also without right-hander Stephen Gostisbehere.
115,"Dominique Dona, Donella Donelle, Donetta Donia, Donica Donielle, Donna Donnajean, Donnamarie Donni","The Muzzle Velocity (MV) is the idea that with the right ammunition you can kill a target by kicking them in the chest with the right trigger. In the US, the MV is 1.4 meters, and the MV is 1.55 meters. The MV has a muzzle velocity of 1/10,000ths of a second. In the US, it is 1.4 meters, and the MV is 1.55 meters."
116,"Donnie Donny, Dora Doralia, Doralin Doralyn, Doralynn Doralynne, Dorcas Dore, Doreen Dorelia","3,000%"
117,"Dorella Dorelle, Dorena Dorene, Doretta Dorette, Dorey Dori, Doria Dorian, Dorice Dorie",The cephalobranchs of the cephalopod family are involved in the pathogenesis of colon cancer
