,Title,Citation,DOI,Year,FINDINGS,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
31,First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,"J. Clin. Microbiol. 1998, 36(6):1666-1673",10.1128/JCM.44.3.772-776.2006,2013,"Duplicated bands within blot strips, multiple cases","Department of Hematology and Oncology, The First Hospital, Jilin University, 71 Xinmin Street, Changchun 130021, China.",6,,,5.8,6,19
32,14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Cytokine 44 (2008) 221Ä228,10.1016/j.cyto.2009.11.020,2014,Overlapping images of colony panels,"Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX 77555, USA.",11,PhD,,0.4705882352941176,300,12
33,Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1016/j.cyto.2013.04.005,2012,reuse of 2 bands multiple times to create blot panel,"Institue of Biomedical Engineering, West China School of Preclinical and Forensic Medicine, Sichuan University, China.",13,,,60.0,56,9
34,Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,Cytokine 42 (2008) 198Ä204,10.1128/IAI.00013-12,2006,"duplicated, and mirrored blots","1] INSERM, U895 (équipe 1), Equipe labélisée Ligue Contre le Cancer, C3M, 06204 Nice, France [2] Université of Nice Sophia-Antipolis, UFR Médecine, 06204 Nice, France [3] Centre Hospitalier Universitaire de Nice, Service de Dermatologie, 06204 Nice, France [4].",13,,Psychology,1.2727272727272727,300,20
35,Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1128/IAI.01203-10,2004,"Duplicated, and shifted western blot panels","Division of Oncology/Hematology, Department of Internal Medicine, Korea University College of Medicine, Seoul, Republic of Korea.",17,PhD,,2.9411764705882355,14,20
36,Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,"Infect. Immun. Mar. 2003, p. 1209Ä1216",10.3892/ijo.2012.1617,2012,"Duplicated or mirrored blot panels, or lanes within blots","Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology, Anhui Medical University, Hefei, China",0,PhD,,50.77777777777778,300,10
37,S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"Nature, Vol. 401, 7 October 1999, page 616",10.1016/j.cyto.2008.06.003,2010,"Duplicated compressed blots, overlapping microscopy","Department of Immunology, Medical College of Chinese People's Armed Police Forces, Tianjin, People's Republic of China. wy68wy68@yahoo.com.cn",13,Ph.D.,Biology,1.25,10,14
38,IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1002/ijc.27863,2013,Multiple cases of shifted or duplicated blot panels,"Department of Microbiology, Laboratory of Mycotoxins and Toxigenic Fungi, University of São Paulo, São Paulo, São Paulo, Brazil",15,PhD,,2.6666666666666665,12,10
39,Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.ppat.1003896,2013,Same band seen twice in one blot strip,"Institute of Orthopedic Surgery, Xijing Hospital, Fourth Military Medical University, Xi’an, People’s Republic of China",5,,,1.15,34,14
40,"Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis","Int. J. Cancer: 132, 1940Ä1953 (2013)",10.1016/j.ccr.2013.12.007,2011,Duplicated lane within blot,"Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore",9,Doctor of Philosophy,,2.6,2,9
41,Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,"Breast Cancer Research 2012, 14:R86",10.1371/journal.pntd.0002890,2009,"Duplicated blots, multiple cases","Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China",7,,,2.0526315789473686,39,8
42,In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,"Journal of Applied Microbiology 2010, 109:1668Ä1676",10.1111/j.1348-0421.2004.tb03525.x,2006,Duplicated blots,"School of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University Hospital, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan.",17,,,2.071428571428572,3,5
43,Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,"Oncogene (2014), 1Ä13",10.1016/j.cyto.2012.04.029,2014,"Duplicated, mirrored bands within same panels","School of Pharmacy, Second Military Medical University, Shanghai, China",13,,Biology,4.125,14,3
44,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1128/JCM.42.3.1082-1088.2004,2004,Mirrored microscopy image,"Department of Biology, University of North Carolina at Charlotte, Charlotte, North Carolina 28223, USA. lwschrum@email.uncc.edu",29,,Psychology,2.333333333333333,6,12
45,The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,"Breast Cancer Research 2012, 14:R127",10.1128/IAI.00539-13,2005,Duplicated western blots,"Department of Surgery, Gastroenterological Surgery, Graduate School of Medicine, Osaka University, Suita, Osaka, Japan.",19,,,1.7,8,20
46,MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,"Nature, 2011 Oct 19;480(7375):94-8",10.1016/j.cyto.2012.05.021,2009,,"Université de Lyon, Université Lyon 1, CNRS UMR 5240 ""Microbiologie, Adaptation et Pathogénie,"" 69622 Villeurbanne, France.",21,PhD,,10.875,300,5
47,Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1016/j.cyto.2006.12.003,2012,"Overlapping blots, two cases","Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America",7,PhD,Biology,3.125,47,3
48,"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer","PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1155/2014/640857,2013,"Duplicated pic of agar plate, but different exposure.","Department of Internal Medicine, Faculty of Medicine, Saga University, 5-1-1 Nabeshima, Saga 849-8501, Japan.",21,PhD,Biology,1.4444444444444444,7,5
49,S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"Infect. Immun. Mar. 2004, p. 1223Ä1229 Vol. 72, No. 3",10.1128/IAI.00539-13,2013,overlapping microscopy images,"1] State Key Laboratory of Plant Genomics and National Center for Plant Gene Research (Beijing), Institute of Genetics and Developmental Biology, Chinese Academy of Sciences, Beijing 100101, China [2].",5,PhD in Biochemistry,,0.18181818181818185,12,18
50,Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,"BioMed Research International, Volume 2014, Article ID 272101",10.1371/journal.pone.0062170,2014,Duplicated actin blot,"Department of Molecular Biology and Microbiology, Graduate Program in Molecular Microbiology, Sackler School of Graduate Biomedical Science, Tufts University School of Medicine, Boston, Massachusetts, USA.",27,PhD,Medicine,16.5,70,14
51,"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling","Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415",10.1016/j.jaut.2006.05.001,2013,Duplicated blot,None,11,,,3.333333333333333,12,12
52,"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729Ä5734",10.1371/journal.pone.0064904,2014,Duplicated parts of lanes to make 2 negative lanes,"Department of Biology, American University of Beirut, Lebanon.",16,,,4.4,7,29
53,"Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways",Cytokine 56 (2011) 573Ä580,10.1038/onc.2012.182,2014,"Reused blot, shifted, other protein","Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.",7,Dr. rer. nat.,,23.33333333333333,25,9
54,"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",mBio 3(6): 2012,10.1083/jcb.201201133,2009,"Reused blot, shifted, other protein","Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America",12,PhD in Oncology,,184.6,182,7
55,Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,"Breast Cancer Research 2012, 14:R86",10.1128/IAI.00913-08,2012,multiple duplications of negative blot strips,"Department of Microbiology, Oregon State University, Corvallis, Oregon 9731, USA.",8,Doctor of Philosophy,,0.42857142857142855,253,12
56,"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids","J. Clin. Microbiol. 1998, 36(6):1666-1673",10.1371/journal.ppat.1003114,2014,"Duplicated actin blot panel but different experiments, cuts in panels","Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud, Palma de Mallorca, Spain.",15,,,3.6,7,10
57,Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Cytokine 60 (2012) 718Ä730,10.1371/journal.pone.0068296,2014,Rotated western blot,None,5,Assist. Prof. Dr.,Medicine,7.0,6,4
58,CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Cytokine 33 (2006) 138e144,10.1371/journal.ppat.1004195,2013,"Identical microscopy panels, might be error","Department of Genetic Engineering, College of Natural Science and Engineering, Cheongju University, Chungbuk 360-764, Republic of Korea. parkks@cju.ac.kr",0,,,1.0769230769230769,11,8
59,"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling",BMC Microbiology 2010,10.1016/j.jaut.2004.10.003,2013,reuse of 2 bands multiple times to create blot panel,"Division of Infection and Immunity, University College London, London, United Kingdom",17,,,8.444444444444445,82,14
60,Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma,"PNAS | Published online December 23, 2013 | E89ÄE98",10.1128/IAI.71.3.1209-1216.2003,2014,"multiple cases of shifted blots, duplicated bands within blots","Institute of Neurological Sciences and Psychiatry, Hacettepe University, Ankara, Turkey.",9,,Biology,10.461538461538463,13,10
61,"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection",Lung Cancer 67 (2010) 205Ä215,10.1186/bcr3201,2011,Multiple cases of duplicated blots,"Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain",15,,,0.7777777777777778,8,11
62,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"Infect. Immun. Mar. 2009, p. 1031Ä1043 Vol. 77, No. 3",10.1155/2013/938081,2009,"Reused lanes, possibly duplicated lanes","Department of Pathology and Molecular Medicine, Queen's University, Kingston, ON, Canada K7L 3N6.",4,,,2.5,47,17
63,Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"Infect. Immun. 2012, 80(3):1193",10.1371/journal.pgen.1004121,2012,Overlapping microscopy images; multiple cases,"Department of Neurosurgery, Taichung Veterans General Hospital, Taichung 40705, Taiwan ; Department of Physical Therapy, Hung Kuang University, Taichung 43302, Taiwan ; Department of Medicine, National Defense Medical Center, Taipei 114, Taiwan ; Tri-Service General Hospital, National Defense Medical Center, Taipei 114, Taiwan.",8,,Biology,2.1818181818181817,34,11
64,Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,"Infect. Immun. 2013, 81(11):3975",PMID: 9864199,2013,Multiple cases of duplicated blots,"Laboratory of Virology and Immunology, Institute of Preventive Veterinary Medicine, College of Animal Sciences, Zhejiang University, 268 Kaixuan Road, Hangzhou, Zhejiang Province 310029, PR China. jyzhou@zju.edu.cn",15,,Engineering,0.4,44,15
65,Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1155/2014/989340,2012,"duplicated blot, shifted microscopy","School of Pharmacy, China Medical University, 91 Hsueh-Shih Road, Taichung 404, Taiwan.",11,MD,,4.814814814814816,2,18
66,"Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis","PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1155/2013/594906,2006,duplicated (negative) western blot,"Andrology Department of Integrative Medicine, Zhongda Hospital, School of Medicine, Southeast University.",3,,,3.272727272727273,39,13
67,Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0069592,2013,Mirrored microscopy image,"Second Department of Internal Medicine, Tottori University School of Medicine, Tottori 683-8504, Japan.",19,,Medicine,2.6666666666666665,29,1
68,Astakine 2Åthe Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729Ä5734",10.1155/2014/424767,2012,"Overlapping blots, two cases","Medical Biology Department, School of Medicine, Pamukkale University, Kinikli, Denizli, Turkey. hakanakca@yahoo.com",19,,,3.333333333333333,28,29
69,Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,"Infect. Immun. 2012, 80(3):1193",10.1371/journal.ppat.1004059,2005,Overlapping microscopy images,"Department of Human and Molecular Genetics, Virginia Commonwealth University School of Medicine, Richmond, VA.",4,PhD,,4.666666666666667,20,12
70,Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1002/ijc.28032,2012,Duplicated microscopy panels,"Division of Respiratory Infections, Department of Medicine, National Jewish Medical and Research Center, 1400 Jackson St., Neustadt D-403, Denver, CO 80206, USA. JeyaseelanS@NJC.org",17,,,0.7058823529411765,15,3
71,"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm",Cytokine 44 (2008) 33Ä43,10.1038/onc.2013.184,2003,"Duplicated cells within microscopy panels, multiple cases, duplicated blots","Department of Minimally Invasive Surgery, The First Affiliated Hospital of Nanjing Medical University, Nanjing 210029, P.R. China.",19,,Education,3.333333333333333,62,5
72,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1263-1270, 2013",10.1111/j.1462-2920.2012.02741.x,2006,"Duplicated actin blot panel but different experiments, cuts in panels","Department of Medicine, University of Vermont College of Medicine, Burlington, VT 05405, USA.",4,Doctor of Philosophy,,5.0,253,11
73,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",10.1073/pnas.1211179110,2006,Multiple cases of duplicated blots,"E2C and LGCR-SDI Department, Sanofi Research and Development, 31100 Toulouse, France.",9,,,0.7,17,12
74,Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"Breast Cancer Research 2012, 14:R127",10.1371/journal.pone.0094472,2010,"duplicated background, pasted-in bands?","Faculty of Pharmacy, Universiti Teknologi MARA, Puncak Alam Campus, 42300 Bandar Puncak Alam, Selangor, Malaysia.",25,PhD,,5.8,119,13
