,Citation,DOI,Year,FINDINGS,title,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
13,Cytokine 30 (2005) 328-338,10.3892/ijo.2012.1741,1996,"overlapping microscopy images,but rotated/stretched",cDNA cloning and functional analysis of goose interleukin-2,"Institute for Global Food Security, School of Biological Sciences, Medical Biology Centre, Queen's University Belfast, 97 Lisburn Road, Belfast BT9 7BL, UK.",11,,Medicine,0.625,76,38
14,Cytokine 44 (2008) 221Ä228,10.1371/journal.pone.0099137,2008,Mirrored blot,Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",15,,,50.6,11,3
15,"Infect. Immun. Mar. 2003, p. 1209Ä1216",10.1128/JCM.42.3.1082-1088.2004,2005,part of blot panel reused to represent different protein,"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","Department of Surgery, Gastroenterological Surgery, Graduate School of Medicine, Osaka University, Suita, Osaka, Japan.",11,PhD,Biology,2.6666666666666665,3,15
16,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1016/S0169-5002(03)00239-3,2014,Overlapping microscopy images,"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo","Department of Neurosurgery, Taichung Veterans General Hospital, Taichung 40705, Taiwan ; Department of Physical Therapy, Hung Kuang University, Taichung 43302, Taiwan ; Department of Medicine, National Defense Medical Center, Taipei 114, Taiwan ; Tri-Service General Hospital, National Defense Medical Center, Taipei 114, Taiwan.",29,PhD,Biology,1.25,8,5
17,Journal of Autoimmunity 54 (2014) 118-126,10.1016/j.cyto.2007.04.003,2013,"multiple overlapping microscopy images, groups of cells visible in multiple images",RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,"Crete Veterinary Clinic, Nebraska 68333-0008, USA.",11,,,1.25,18,18
18,Microbiol Immunol 2010; 54: 564Ä567,10.1073/pnas.1310331110,2014,Duplicated microscopy image; might be error,Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,"Department of Veterinary Physiology and Pharmacology, Texas A&M University, College Station, TX 77843-4466, USA.",0,MD,,0.7058823529411765,130,7
19,"Infection and Immunity 73: Feb. 2003, p. 766Ä773",10.1128/IAI.06230-11,2013,Duplicated microscopy images,Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,"Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America",0,,,50.77777777777778,253,9
20,"Environmental Microbiology (2012) 14(8), 1982Ä1994",10.1371/journal.pgen.1003361,2005,"Duplicated blot panels, different exposure",Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,"Department of Pathology, First Affiliated Hospital and College of Basic Medical Sciences of China Medical University, Shenyang 110001, China.",9,,,1.5,10,12
21,Lung Cancer 69 (2010) 232Ä238,10.1371/journal.pone.0094830,2014,Duplicated lanes within same blot,Astakine 2Åthe Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"Department of Veterinary PathoBiology, College of Veterinary Medicine, University of Minnesota, St. Paul, Minnesota 55108, USA.",15,PhD,Biology,1.5789473684210529,224,18
22,"Infect. Immun. 2012, 80(8):2920",10.1128/IAI.00013-12,2013,"Duplicated cells within microscopy panels, multiple cases, duplicated blots",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"E2C and LGCR-SDI Department, Sanofi Research and Development, 31100 Toulouse, France.",11,,,2.333333333333333,12,7
23,Cytokine 46 (2009) 72Ä78,10.1371/journal.pone.0103868,2006,Duplicated blots,HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,"Department of Pediatrics, Children's Hospital, Room 2.300, University of Texas Medical Branch, 301 University Blvd., Galveston, TX 77555, USA.",5,,,2.875,58,6
24,Cytokine 44 (2008) 33Ä43,10.1016/j.jaut.2006.05.001,2012,"possible duplicated lanes within same blot, patch in other blot",Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,"Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India",9,Doctor of Philosophy,,3.25,300,11
25,"Int. J. Cancer: 133, 2726Ä2736 (2013)",10.1128/JCM.43.7.3512-3515.2005,2009,Overlapping microscopy images,Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"Department of Craniofacial Biology and the Center for Oral Health Research, Medical University of South Carolina, SC 29425, United States.",15,DVM,,100.0,78,3
26,"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 611-620, 2012",10.1128/IAI.73.3.1386-1398.2005,2014,"Duplicated FACS panel, gated differently",LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,"Department of Veterinary Physiology and Pharmacology, Texas A&M University, College Station, TX 77843-4466, USA.",16,,Computer Science,7.0,25,12
27,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1155/2013/358945,2013,Duplicated parts of lanes to make 2 negative lanes,LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",15,MSc.,Biology,45.33333333333334,136,6
28,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1155/2013/210604,2012,Shifted actin blot panels,The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"Department of Genetics, Cancer Research United Kingdom Cell Cycle Genetics Research Group,  University of Cambridge, Cambridge CB2 3EH,  United Kingdom.",13,,,8.444444444444445,26,10
29,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0093995,2014,,Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",5,,,8.444444444444445,8,7
30,Cytokine 42 (2008) 198Ä204,10.1371/journal.ppat.1004059,2010,Multiple cases of shifted or duplicated blot panels,The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,"Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America",11,MD,,50.77777777777778,36,5
31,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081",10.3892/ijo.2012.1617,2004,"duplicated, stretched blot panels with duplicated area within blot",Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",3,PhD,,5.5625,70,7
32,Cytokine 60 (2012) 718Ä730,10.1073/pnas.1310331110,2013,overlapping microscopy images,"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","Department of Comparative Physiology, Uppsala University, Uppsala, Sweden",11,PhD,,75.0,12,6
33,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1155/2012/732578,2014,Overlapping microscopy images,"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","Department of Enzymology, A.N. Belozersky Institute of Physico-Chemical Biology, Moscow State University, 119899 Moscow, Russia.",25,,Biology,150.0,19,14
34,"Science 339, 1092 (2013)",10.1128/IAI.01192-08,2013,Overlapping microscopy images,First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",21,Doctor of Philosophy,,1.2142857142857142,33,11
35,"BioMed Research International, Volume 2014, Article ID 164391",10.1371/journal.pone.0086342,2014,duplicated microscopy panels,Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,"Department of Pediatrics, Children's Hospital, Room 2.300, University of Texas Medical Branch, 301 University Blvd., Galveston, TX 77555, USA.",15,,,19.571428571428573,6,6
36,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1002/ijc.28289,2011,Shifted actin blot panels,Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"a Institut für Pathologie , Universitätsmedizin Greifswald , Greifswald , Germany.",43,,,1.0,5,8
37,"Infect. Immun. Mar. 2009, p. 1031Ä1043 Vol. 77, No. 3",10.1371/journal.pone.0086342,2014,Overlapping microscopy images,Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Division of High-risk Pathogen Research, Center for Infectious Diseases, National Institute of Health, 194 Tongil-Lo, Eunpyung-gu, Seoul 122-701, Korea.",9,,Medicine,1.5,39,6
38,Cytokine 70 (2014) 87Ä96,10.1371/journal.pone.0098448,2009,Duplicated agarose gel panels,"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",9,,Medicine,50.77777777777778,78,12
39,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1126/science.1156725,2009,Duplicated actin blot,"Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways","Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia",43,BSc,Biology,1.5789473684210529,136,10
40,"PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409Ä11414",10.1155/2014/272101,2013,"Duplicated control panel, stretched",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,"Université de Lyon, Université Lyon 1, CNRS UMR 5240 ""Microbiologie, Adaptation et Pathogénie,"" 69622 Villeurbanne, France.",13,Ph.D.,Biology,0.5714285714285714,11,3
41,"BioMed Research International, Volume 2014, Article ID 164391",10.1111/j.1472-765X.2012.03263.x,2013,"Duplicated blot panel, stretched",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"Osteoncology Center, IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.), I-47014 Meldola (FC), Italy. t.ibrahim@irst.emr.it",15,PhD,,1.8571428571428568,58,10
42,"Infect. Immun. 2012, 80(6):2121",10.3892/ijo.2012.1617,2001,Mirrored microscopy image,"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling","Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China.",9,BSc,Biology,4.125,224,6
43,Cytokine 36 (2006) 245Ä253,10.1016/j.jaut.2007.02.007,2012,"Duplicated FACS panel, gated differently",IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,"Department of Pediatrics, Dalhousie University, Halifax, Nova Scotia B3J 3G9, Canada.",11,,,7.0,10,12
44,"J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1016/j.lungcan.2006.06.006,2008,Overlapping microscopy images,TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",13,PhD,,10.461538461538463,25,9
45,"BMC Microbiology 2013, 13:113",10.1128/IAI.69.10.6131-6139.2001,2014,"Overlapping blots, two cases",Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,"Department of Biology, American University of Beirut, Lebanon.",15,Ph.D.,,4.473684210526316,27,20
46,J. Cell Biol. Vol. 199 No. 3 481Ä496,10.1126/science.1176709,2012,Multiple cases of duplicated blot panels,Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",13,,,1.25,58,17
47,Lung Cancer 73 (2011) 302Ä309,10.1111/j.1348-0421.2004.tb03525.x,2012,"duplicated blot strips, slightly shifted",Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,"Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, CS83021, Avenue Kennedy, 30908 Nîmes Cedex 02, France.",11,,,2.875,4,9
48,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1111/j.1348-0421.2004.tb03525.x,2014,"duplicated gel panels, exact duplicate",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,None,11,,,1.1111111111111112,2,8
49,Cytokine 54 (2011) 305Ä314,10.1155/2014/272101,2014,"repetitive bands, and background in gel panel","Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes","Crete Veterinary Clinic, Nebraska 68333-0008, USA.",17,,,4.375,12,18
50,"Infection, and Immunity, Mar. 2005, p. 1754Ä1763 Vol. 73, No. 3",10.3892/ijo.2013.1761,2013,"Overlapping microscopy, duplicated blots, multiple cases",Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction,"Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain",15,PhD,Biology,2.6666666666666665,56,19
51,Cytokine 46 (2009) 72Ä78,10.1128/IAI.00013-12,2011,Overlapping microscopy,Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology, National Cheng-Kung University, Tainan, Taiwan [2] Center for Infection Disease and Signal Transduction, National Cheng-Kung University, Tainan, Taiwan.",15,,,4.375,4,10
52,"J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1111/j.1462-2920.2012.02741.x,2013,Overlapping microscopy images,Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,"Department of Biology, American University of Beirut, Lebanon.",11,PhD,,0.6666666666666666,4,9
53,"Oncogene (2014) 33, 2295Ä2306",10.1371/journal.pone.0070508,2013,Multiple cases of shifted or duplicated blot panels,Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America",19,,Biology,1.0,47,3
54,Cytokine 46 (2009) 72Ä78,10.1128/IAI.00913-08,2003,"duplicated background, pasted-in bands?",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,None,19,,,2.0,20,9
55,"Microbiol. Immunol., 48(4), 289Ä295, 2004",10.1128/IAI.06230-11,2005,Duplicated FACS panel,In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,"Department of Gastroenterology, Justus Liebig University, Giessen, Germany",15,PhD,,0.9523809523809524,3,11
56,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1186/bcr3441,2013,"Overlapping microscopy images, multiple times","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice","Department of Craniofacial Biology and the Center for Oral Health Research, Medical University of South Carolina, SC 29425, United States.",8,,,23.33333333333333,89,11
57,"Cancer Cell 25, 21Ä36, January 13, 2014",10.1371/journal.pone.0069485,2014,Duplicated blot,The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,"Indian Veterinary Research Institute, Bangalore-560024, Karnataka, India.",7,PhD,Medicine,50.6,26,6
58,"Int. J. Cancer: 132, 2258Ä2269 (2013)",10.1016/j.cyto.2011.06.006,2012,Mirrored blot,TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals,"Department of Biochemistry and Molecular Biology, University of Texas Medical Branch, Galveston, TX 77555, USA.",5,,Biology,1.1666666666666667,5,19
59,"Infection and Immunity 73: Feb. 2003, p. 766Ä773",10.1155/2013/358945,2004,multiple cases of duplicated bands within same blot,MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,"McArdle Laboratory for Cancer Research, University of Wisconsin-Madison, Madison, WI 53706, USA.",5,,Biology,7.0,30,5
60,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1016/j.ccell.2014.09.008,1998,"Duplicated FACS plots, multiple cases","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.",0,PhD,Biology,3.4285714285714284,10,7
61,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10.1371/journal.pone.0092305,2014,"duplicated background, pasted-in bands?",Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,"Department of Comparative Physiology, Uppsala University, Uppsala, Sweden",11,,,1.2,9,13
62,"Environmental Microbiology (2012) 14(8), 1982Ä1994",10.1111/j.1462-2920.2008.01842.x,2014,rotated duplicated colony photo,Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,"Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America",13,,,0.8181818181818182,28,22
63,Cytokine 62 (2013) 407Ä412,10.1371/journal.pone.0068296,2013,"Reused lanes, possibly duplicated lanes",HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,"Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America",11,PhD,,0.5,300,7
64,"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",10.1016/j.cyto.2012.04.029,2005,"Overlapping microscopy images, multiple cases",Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,"Department of Nephrology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou 510080, Guangdong, PR China.",11,PhD,Computer Science,0.5,1,13
65,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 690-698, 2013",10.1016/j.cyto.2008.12.021,2013,"duplicated actin blot panels, exact",Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,"Department of Parasitology, Asahikawa Medical College, Asahikawa, Japan.",3,PhD,,1.3333333333333333,36,9
66,"Lung Cancer (2006) 53, 273Å284",10.1186/1471-2180-10-53,2013,Duplicated bands in different order,Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas, Universidad de Chile, Santiago, Chile.",15,PhD,,3.25,26,6
67,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10.1073/pnas.1101273108,2014,Mirrored blot,Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,None,9,,,1.0,18,4
68,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0057285,2000,"Manipulated plant images, duplication of seeds, manipulated leaves",Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__,"School of Human Science and Environment, University of Hyogo, Himeji, Japan. kitamoto@shse.u-hyogo.ac.jp",0,Doctor of Philosophy,,1.3,24,7
69,"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415",10.1128/IAI.68.1.72-79.2000,2009,"repetitive bands, and background in gel panel",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",11,,Psychology,50.0,457,9
70,"Int. J. Cancer: 133, 247Ä252 (2013)",10.1371/journal.pntd.0002890,2014,"Duplicated blot strips, stretched",Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,"Nephrology Unit, Department of Medicine, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand.",17,,Biology,1.0,17,17
71,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1128/JCM.44.3.772-776.2006,2013,Manipulated FACS plots,Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",17,,,0.6666666666666666,300,20
72,"Infection, and Immunity, Jan. 1999, p. 80Ä87 Vol. 67, No. 1",10.3892/ijo.2012.1714,2014,duplication of whole panel?,JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,"School of Life Sciences, Tsinghua University, Beijing 100084, China.",15,,,1.2,30,4
73,Cytokine 62 (2013) 407Ä412,10.1371/journal.ppat.1003114,2013,Multiple cases of reused blot strips,TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,"Department of Neurology, Wayne State University School of Medicine, 421 East Canfield, 2226 Elliman Building, Detroit, MI 48201, USA. skundric@cmb.biosci.wayne.edu",15,PhD,,9.833333333333334,78,13
74,"J. Clin. Microbiol. 2004, 42(3):1082",10.1186/gb-2013-14-10-r121,2013,Mirrored blot,Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,"Department of Pharmacology, School of Pharmacy, Hoshi University, 2-4-41 Ebara, Shinagawa-ku, Tokyo 142-8501, Japan.",51,,,1.7,1,13
